date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:23	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Oct%202022%2017:34:22%20GMT	https://www.cantoadz.com/robots.txt		(from )
12:34:23	31641/31641	---MCZ	200	added ('OK')	text/html	etag:W/%2294b7b393f710ccefdf55367f81788847%22	https://www.cantoadz.com/	/Users/oneilbenjamin/websites/ttuudss/index-2.html	(from )
12:34:24	18681/18681	---M--	200	added ('OK')	image/png	etag:%2275dba706fa2eea42ba04e2ff0ecb3544%22	https://www.cantoadz.com/apple-touch-icon.png	/Users/oneilbenjamin/websites/ttuudss/apple-touch-icon.png	(from https://www.cantoadz.com/)
12:34:25	1829/1829	---M--	200	added ('OK')	image/png	etag:%22eed18ce34620bb349e26942c0c517f0b%22	https://www.cantoadz.com/favicon-32x32.png	/Users/oneilbenjamin/websites/ttuudss/favicon-32x32.png	(from https://www.cantoadz.com/)
12:34:26	746/746	---M--	200	added ('OK')	image/png	etag:%2271e08ab133b0bd899594708d1e43188b%22	https://www.cantoadz.com/favicon-16x16.png	/Users/oneilbenjamin/websites/ttuudss/favicon-16x16.png	(from https://www.cantoadz.com/)
12:34:27	263/263	---M--	200	added ('OK')	application/manifest+json	etag:%22053100cb84a50d2ae7f5492f7dd7f25e%22	https://www.cantoadz.com/site.webmanifest	/Users/oneilbenjamin/websites/ttuudss/site.webmanifest	(from https://www.cantoadz.com/)
12:34:29	8828/8828	---MCZ	200	added ('OK')	text/css	etag:W/%22715591babf114a048b45424e616656e0%22	https://www.cantoadz.com/assets/css/main.css	/Users/oneilbenjamin/websites/ttuudss/assets/css/main.css	(from https://www.cantoadz.com/)
12:34:30	34724/34724	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215c18e20ef509b4af9dae20d19b57940%22	https://www.cantoadz.com/assets/js/main.js	/Users/oneilbenjamin/websites/ttuudss/assets/js/main.js	(from https://www.cantoadz.com/)
12:34:30	733070/733070	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250ed955cf32ac8e4e1daa0fac8fcde98%22	https://cdn.ethers.io/lib/ethers-5.2.umd.min.js	/Users/oneilbenjamin/websites/ttuudss/lib/ethers-5.2.umd.min.js	(from https://www.cantoadz.com/)
12:34:31	2692093/2692093	---M--	200	added ('OK')	image/gif	etag:%22703134bf1c975e7ebf8ce63529f82b52%22	https://www.cantoadz.com/assets/images/1.gif	/Users/oneilbenjamin/websites/ttuudss/assets/images/1.gif	(from https://www.cantoadz.com/)
12:34:32	1062220/1062220	---MCZ	200	added ('OK')	application/javascript	etag:%2210354c-SQkpH4nf0Fs213c6eRJ65TZA0Lo%22	https://unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	/Users/oneilbenjamin/websites/ttuudss/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	(from https://www.cantoadz.com/)
12:34:33	34724/34724	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://www.cantoadz.com/assets/js/main.js	/Users/oneilbenjamin/websites/ttuudss/assets/js/main.js	(from https://www.cantoadz.com/)
12:34:34	733070/733070	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2250ed955cf32ac8e4e1daa0fac8fcde98%22	https://cdn.ethers.io/lib/ethers-5.2.umd.min.js	/Users/oneilbenjamin/websites/ttuudss/lib/ethers-5.2.umd.min.js	(from https://www.cantoadz.com/)
12:34:34	428153/428153	---MCZ	200	added ('OK')	application/javascript	etag:%2268879-tm7vwPb2IqrA2oEDTYylltO0M54%22	https://unpkg.com/web3modal@1.9.0/dist/index.js	/Users/oneilbenjamin/websites/ttuudss/web3modal@1.9.0/dist/index.js	(from https://www.cantoadz.com/)
12:34:34	1062220/1062220	UR-MCZ	200	added ('OK')	application/javascript	etag:%2210354c-SQkpH4nf0Fs213c6eRJ65TZA0Lo%22	https://unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	/Users/oneilbenjamin/websites/ttuudss/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	(from https://www.cantoadz.com/)
12:34:35	86820/86820	---MCZ	200	added ('OK')	font/ttf	etag:W/%22b090e3202375adb631519fab6bf121c2%22	https://www.cantoadz.com/assets/font/RobotoMono-Medium.ttf	/Users/oneilbenjamin/websites/ttuudss/assets/font/RobotoMono-Medium.ttf	(from https://www.cantoadz.com/assets/css/main.css)
